NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
DUS4L	1	DUS4L	
DIP2C	1	DIP2C	
EARS2	1	EARS2	
ISY1-RAB43	1	ISY1-RAB43	
ACOT9	1	ACOT9	
ACOT8	1	ACOT8	
ACOT7	1	ACOT7	
TRIQK	1	TRIQK	
SERPINF1	1	SERPINF1	
SERPINF2	1	SERPINF2	
CLPX	1	CLPX	
NISCH	1	NISCH	
DYNC1LI1	1	DYNC1LI1	
DYNC1LI2	1	DYNC1LI2	
BIN3	1	BIN3	
BIN2	1	BIN2	
BIN1	1	BIN1	
CLPP	1	CLPP	
ANOS1	1	ANOS1	
ACOT2	1	ACOT2	
YME1L1	1	YME1L1	
SERPING1	1	SERPING1	
ACOT1	1	ACOT1	
DUS3L	1	DUS3L	
ACOT4	1	ACOT4	
MAPKAP1	1	MAPKAP1	
HSPA4L	1	HSPA4L	
RAD21	1	RAD21	
SERPINH1	1	SERPINH1	
S100A13	1	S100A13	
S100A12	1	S100A12	
DNAJC25-GNG10	1	DNAJC25-GNG10	
S100A11	1	S100A11	
S100A10	1	S100A10	
SIVA1	1	SIVA1	
TRIP4	1	TRIP4	
NPLOC4	1	NPLOC4	
TRIP6	1	TRIP6	
RAD17	1	RAD17	
SERPINI1	1	SERPINI1	
DUS1L	1	DUS1L	
RAD18	1	RAD18	
ITK	1	ITK	
SERPINA1	1	SERPINA1	
SPIN4	1	SPIN4	
SPIN3	1	SPIN3	
CLTC	1	CLTC	
SRP54	1	SRP54	
LPCAT1	1	LPCAT1	
CLTB	1	CLTB	
CLTA	1	CLTA	
LFNG	1	LFNG	
TRIM8	1	TRIM8	
FCRLB	1	FCRLB	
C17orf58	1	C17orf58	
TRIM6	1	TRIM6	
PIP4P2	1	PIP4P2	
TRIM7	1	TRIM7	
PIP4P1	1	PIP4P1	
CSRP2	1	CSRP2	
TRIM4	1	TRIM4	
CSRP1	1	CSRP1	
TRIM5	1	TRIM5	
TRIM2	1	TRIM2	
TRIM3	1	TRIM3	
SPIN1	1	SPIN1	
RACK1	1	RACK1	
TNKS1BP1	1	TNKS1BP1	
AP3S2	1	AP3S2	
AP3S1	1	AP3S1	
SERPINB1	1	SERPINB1	
CLUH	1	CLUH	
FCRL5	1	FCRL5	
MIOS	1	MIOS	
FCRL6	1	FCRL6	
ITPK1	1	ITPK1	
FCRL4	1	FCRL4	
SERPINB9	1	SERPINB9	
NUDT16L1	1	NUDT16L1	
SERPINB8	1	SERPINB8	
SERPINB6	1	SERPINB6	
ITPKB	1	ITPKB	
BACE1	1	BACE1	
ITPKC	1	ITPKC	
BACE2	1	BACE2	
C17orf49	1	C17orf49	
IVD	1	IVD	
PHLPP2	1	PHLPP2	
PHLPP1	1	PHLPP1	
HSPA14	1	HSPA14	
HSPA13	1	HSPA13	
C17orf75	1	C17orf75	
SRP72	1	SRP72	
TMEM18-DT	1	TMEM18-DT	
SEPTIN1	1	SEPTIN1	
HSPA1L	1	HSPA1L	
SEPTIN2	1	SEPTIN2	
SEPTIN6	1	SEPTIN6	
SEPTIN3	1	SEPTIN3	
GTF2H1	1	GTF2H1	
GTF2H2	1	GTF2H2	
SRP68	1	SRP68	
GTF2H3	1	GTF2H3	
SEPTIN9	1	SEPTIN9	
BLCAP	1	BLCAP	
GTF2H4	1	GTF2H4	
SEPTIN7	1	SEPTIN7	
GTF2H5	1	GTF2H5	
SEPTIN8	1	SEPTIN8	
RYBP	1	RYBP	
LPCAT4	1	LPCAT4	
LPCAT3	1	LPCAT3	
LPCAT2	1	LPCAT2	
C17orf67	1	C17orf67	
HSPA1B	1	HSPA1B	
HSPA1A	1	HSPA1A	
CHRM3	1	CHRM3	
ATP8A1	1	ATP8A1	
TUSC2	1	TUSC2	
CHRM5	1	CHRM5	
TUSC1	1	TUSC1	
C17orf97	1	C17orf97	
SPART-AS1	1	SPART-AS1	
GYG1	1	GYG1	
TECTA	1	TECTA	
TPD52	1	TPD52	
SEMA6B	1	SEMA6B	
BIVM	1	BIVM	
SEMA6C	1	SEMA6C	
ANKRD36C	1	ANKRD36C	
SEMA6A	1	SEMA6A	
IGFBP4	1	IGFBP4	
IGFBP3	1	IGFBP3	
ZBED3-AS1	1	ZBED3-AS1	
MITF	1	MITF	
SCN1A-AS1	1	SCN1A-AS1	
GTF2F1	1	GTF2F1	
GTF2F2	1	GTF2F2	
C2orf27A	1	C2orf27A	
SLX1B-SULT1A4	1	SLX1B-SULT1A4	
TTPAL	1	TTPAL	
C17orf80	1	C17orf80	
ANKRD36B	1	ANKRD36B	
SEMA7A	1	SEMA7A	
ITPR1	1	ITPR1	
RHOBTB3	1	RHOBTB3	
ITPR2	1	ITPR2	
ITPR3	1	ITPR3	
RASAL1	1	RASAL1	
RASAL2	1	RASAL2	
RASAL3	1	RASAL3	
GTF2E1	1	GTF2E1	
RHOBTB1	1	RHOBTB1	
GTF2E2	1	GTF2E2	
RHOBTB2	1	RHOBTB2	
PSAP	1	PSAP	
ANKRD34A	1	ANKRD34A	
ATP8B4	1	ATP8B4	
SLC37A2	1	SLC37A2	
ATP8B3	1	ATP8B3	
SLC37A1	1	SLC37A1	
ATP8B2	1	ATP8B2	
ATP8B1	1	ATP8B1	
WFS1	1	WFS1	
TECRL	1	TECRL	
NSFL1C	1	NSFL1C	
GON4L	1	GON4L	
SCCPDH	1	SCCPDH	
RAD9B	1	RAD9B	
CDC42-AS1	1	CDC42-AS1	
RAD9A	1	RAD9A	
LMBR1L	1	LMBR1L	
ANKRD33B	1	ANKRD33B	
RNPEPL1	1	RNPEPL1	
SYCP2	1	SYCP2	
PDCD6-AHRR	1	PDCD6-AHRR	
GADL1	1	GADL1	
DNALI1	1	DNALI1	
OPA1	1	OPA1	
PSD4	1	PSD4	
OPA3	1	OPA3	
PSD3	1	PSD3	
HYDIN	1	HYDIN	
SLC37A4	1	SLC37A4	
SLC37A3	1	SLC37A3	
SH3D19	1	SH3D19	
PLPBP	1	PLPBP	
TBX18-AS1	1	TBX18-AS1	
NIPSNAP1	1	NIPSNAP1	
NIPSNAP2	1	NIPSNAP2	
PTP4A1	1	PTP4A1	
PTP4A2	1	PTP4A2	
RTN4RL1	1	RTN4RL1	
RPL37A	1	RPL37A	
SLC24A2	1	SLC24A2	
SLC24A1	1	SLC24A1	
GTF2A1	1	GTF2A1	
SLC24A4	1	SLC24A4	
GTF2A2	1	GTF2A2	
SEMA3C	1	SEMA3C	
UNC93B1	1	UNC93B1	
IL12A-AS1	1	IL12A-AS1	
SEMA3A	1	SEMA3A	
RPL36A	1	RPL36A	
DPCD	1	DPCD	
LAGE3	1	LAGE3	
JAKMIP3	1	JAKMIP3	
JAKMIP2	1	JAKMIP2	
AP3M2	1	AP3M2	
AP3M1	1	AP3M1	
EEF2KMT	1	EEF2KMT	
SEMA4A	1	SEMA4A	
SEMA4D	1	SEMA4D	
CDC42BPG	1	CDC42BPG	
SEMA4B	1	SEMA4B	
ADRM1	1	ADRM1	
SEMA4C	1	SEMA4C	
MIR181A2HG	1	MIR181A2HG	
RPL35A	1	RPL35A	
SEMA4F	1	SEMA4F	
CFLAR	1	CFLAR	
SEMA4G	1	SEMA4G	
CDC42BPB	1	CDC42BPB	
CDC42BPA	1	CDC42BPA	
TRIT1	1	TRIT1	
TPCN2	1	TPCN2	
TPCN1	1	TPCN1	
RAD52	1	RAD52	
RAD50	1	RAD50	
RAD51	1	RAD51	
SH3D21	1	SH3D21	
CROCC	1	CROCC	
ESF1	1	ESF1	
SYCP3	1	SYCP3	
CMAS	1	CMAS	
SOGA1	1	SOGA1	
DPF1	1	DPF1	
DPF2	1	DPF2	
DPF3	1	DPF3	
OR2A42	1	OR2A42	
PTGDS	1	PTGDS	
TIPIN	1	TIPIN	
CMC4	1	CMC4	
SLC6A16	1	SLC6A16	
SLC11A1	1	SLC11A1	
SLC6A15	1	SLC6A15	
CMC2	1	CMC2	
SLC11A2	1	SLC11A2	
CMC1	1	CMC1	
BOLA1	1	BOLA1	
SLC6A12	1	SLC6A12	
CMBL	1	CMBL	
GBGT1	1	GBGT1	
PLPP7	1	PLPP7	
PLPP6	1	PLPP6	
PLPP5	1	PLPP5	
GRWD1	1	GRWD1	
BOLA3	1	BOLA3	
BOLA2	1	BOLA2	
WDPCP	1	WDPCP	
PLPP3	1	PLPP3	
PLPP2	1	PLPP2	
PLPP1	1	PLPP1	
LLGL1	1	LLGL1	
LLGL2	1	LLGL2	
LMAN2L	1	LMAN2L	
GYPC	1	GYPC	
MGST3	1	MGST3	
MGST1	1	MGST1	
MGST2	1	MGST2	
NMD3	1	NMD3	
SLC6A20	1	SLC6A20	
PTDSS2	1	PTDSS2	
PTDSS1	1	PTDSS1	
SGPL1	1	SGPL1	
DPH1	1	DPH1	
DPH2	1	DPH2	
LCN12	1	LCN12	
DPH3	1	DPH3	
NAALAD2	1	NAALAD2	
DPH5	1	DPH5	
DPH6	1	DPH6	
DPH7	1	DPH7	
TVP23C-CDRT4	1	TVP23C-CDRT4	
SRPK2	1	SRPK2	
RPL39L	1	RPL39L	
SIGLEC16	1	SIGLEC16	
SRPK3	1	SRPK3	
SIGLEC15	1	SIGLEC15	
SIGLEC12	1	SIGLEC12	
SIGLEC11	1	SIGLEC11	
SIGLEC10	1	SIGLEC10	
MEMO1	1	MEMO1	
SRPK1	1	SRPK1	
GKAP1	1	GKAP1	
SESTD1	1	SESTD1	
RYR1	1	RYR1	
DAZAP2	1	DAZAP2	
DAZAP1	1	DAZAP1	
HILPDA	1	HILPDA	
RYR3	1	RYR3	
GYS1	1	GYS1	
EML4-AS1	1	EML4-AS1	
ZMYM1	1	ZMYM1	
ZMYM2	1	ZMYM2	
ZMYM3	1	ZMYM3	
ZMYM4	1	ZMYM4	
ZMYM5	1	ZMYM5	
ZMYM6	1	ZMYM6	
NME2	1	NME2	
NME3	1	NME3	
NME4	1	NME4	
AP3B1	1	AP3B1	
AP3B2	1	AP3B2	
NME1	1	NME1	
RAD51B	1	RAD51B	
CEACAM1	1	CEACAM1	
RAD51D	1	RAD51D	
RAD51C	1	RAD51C	
NME6	1	NME6	
NME7	1	NME7	
NME8	1	NME8	
CEACAM4	1	CEACAM4	
NME9	1	NME9	
DNASE1L3	1	DNASE1L3	
DNASE1L1	1	DNASE1L1	
PAPLN	1	PAPLN	
UQCR11	1	UQCR11	
UQCR10	1	UQCR10	
RAD54B	1	RAD54B	
ANKMY2	1	ANKMY2	
ATP5F1A	1	ATP5F1A	
ATP5F1B	1	ATP5F1B	
RAD54L	1	RAD54L	
JHY	1	JHY	
LCMT2	1	LCMT2	
LCMT1	1	LCMT1	
ANKMY1	1	ANKMY1	
SUZ12	1	SUZ12	
SDCBP2-AS1	1	SDCBP2-AS1	
C1GALT1	1	C1GALT1	
AP3D1	1	AP3D1	
ERBIN	1	ERBIN	
PRSS30P	1	PRSS30P	
ATP5F1C	1	ATP5F1C	
ATP5F1D	1	ATP5F1D	
ATP5F1E	1	ATP5F1E	
RAB3GAP2	1	RAB3GAP2	
LY6G5B	1	LY6G5B	
ZNF354A	1	ZNF354A	
LY6G5C	1	LY6G5C	
TMEM212-AS1	1	TMEM212-AS1	
RAB3GAP1	1	RAB3GAP1	
ZNF354C	1	ZNF354C	
ZNF354B	1	ZNF354B	
PRAG1	1	PRAG1	
CMIP	1	CMIP	
SYDE2	1	SYDE2	
KNTC1	1	KNTC1	
PSPH	1	PSPH	
STARD4-AS1	1	STARD4-AS1	
KCTD1	1	KCTD1	
KCTD2	1	KCTD2	
KCTD3	1	KCTD3	
IPCEF1	1	IPCEF1	
KCTD5	1	KCTD5	
KCTD6	1	KCTD6	
KCTD7	1	KCTD7	
DPM1	1	DPM1	
KCTD9	1	KCTD9	
DPM2	1	DPM2	
DPM3	1	DPM3	
TIPRL	1	TIPRL	
PSMB8-AS1	1	PSMB8-AS1	
DUS4L-BCAP29	1	DUS4L-BCAP29	
TEDC1	1	TEDC1	
TEDC2	1	TEDC2	
ESRG	1	ESRG	
ADRB1	1	ADRB1	
CSF2RB	1	CSF2RB	
ADRB2	1	ADRB2	
ESS2	1	ESS2	
CSF2RA	1	CSF2RA	
AGER	1	AGER	
PALM2AKAP2	1	PALM2AKAP2	
DPP3	1	DPP3	
DPP4	1	DPP4	
PDZD2	1	PDZD2	
DPP7	1	DPP7	
DPP8	1	DPP8	
DPP9	1	DPP9	
CASKIN2	1	CASKIN2	
MYH14	1	MYH14	
MYH11	1	MYH11	
MYH10	1	MYH10	
PDZD8	1	PDZD8	
PDZD7	1	PDZD7	
SMAD2	1	SMAD2	
SMAD1	1	SMAD1	
SMAD4	1	SMAD4	
OPN3	1	OPN3	
SMAD3	1	SMAD3	
PSPN	1	PSPN	
SMAD9	1	SMAD9	
IFT122	1	IFT122	
SMAD6	1	SMAD6	
SMAD5	1	SMAD5	
ESR2	1	ESR2	
SMAD7	1	SMAD7	
JMY	1	JMY	
SRPRA	1	SRPRA	
SRPRB	1	SRPRB	
SUGCT-AS1	1	SUGCT-AS1	
TAS2R5	1	TAS2R5	
TAS2R4	1	TAS2R4	
PSTK	1	PSTK	
PTGIR	1	PTGIR	
PTGIS	1	PTGIS	
RASA4B	1	RASA4B	
LMNTD2	1	LMNTD2	
TRNAU1AP	1	TRNAU1AP	
VPS13B-DT	1	VPS13B-DT	
C10orf143	1	C10orf143	
UACA	1	UACA	
JPX	1	JPX	
ERBB3	1	ERBB3	
MLANA	1	MLANA	
ERBB2	1	ERBB2	
REPS2	1	REPS2	
BPNT2	1	BPNT2	
ROMO1	1	ROMO1	
NCAM1	1	NCAM1	
BPNT1	1	BPNT1	
C14orf119	1	C14orf119	
S1PR3	1	S1PR3	
S1PR2	1	S1PR2	
REPS1	1	REPS1	
RWDD1	1	RWDD1	
RWDD3	1	RWDD3	
RWDD4	1	RWDD4	
NEGR1	1	NEGR1	
PRAF2	1	PRAF2	
LGI2	1	LGI2	
NAP1L1	1	NAP1L1	
SGPP2	1	SGPP2	
SGPP1	1	SGPP1	
NAP1L5	1	NAP1L5	
NAP1L4	1	NAP1L4	
FMNL3	1	FMNL3	
MFF-DT	1	MFF-DT	
FMNL1	1	FMNL1	
DPRX	1	DPRX	
FMNL2	1	FMNL2	
XPNPEP1	1	XPNPEP1	
RNASEH2B-AS1	1	RNASEH2B-AS1	
XPNPEP3	1	XPNPEP3	
ALOX5AP	1	ALOX5AP	
ZPR1	1	ZPR1	
ITSN2	1	ITSN2	
JRK	1	JRK	
IFT172	1	IFT172	
ITSN1	1	ITSN1	
FAM110A	1	FAM110A	
ZC3H12D	1	ZC3H12D	
FAM243B	1	FAM243B	
ZC3H12C	1	ZC3H12C	
FAM243A	1	FAM243A	
ZC3H12B	1	ZC3H12B	
ZC3H12A	1	ZC3H12A	
FAM110B	1	FAM110B	
ANKFY1	1	ANKFY1	
SMCO4	1	SMCO4	
HEMK1	1	HEMK1	
CXADR	1	CXADR	
CH25H	1	CH25H	
MTHFD1	1	MTHFD1	
MTHFD2	1	MTHFD2	
LRATD2	1	LRATD2	
EWSR1	1	EWSR1	
ZC3H11A	1	ZC3H11A	
JTB	1	JTB	
MPPE1	1	MPPE1	
OPTN	1	OPTN	
MEPCE	1	MEPCE	
LYPD1	1	LYPD1	
LYPD5	1	LYPD5	
DEDD2	1	DEDD2	
ITGB1-DT	1	ITGB1-DT	
ZNF433-AS1	1	ZNF433-AS1	
LTA4H	1	LTA4H	
JAG2	1	JAG2	
HEXIM1	1	HEXIM1	
HEXIM2	1	HEXIM2	
JUN	1	JUN	
HLA-DRB5	1	HLA-DRB5	
JAG1	1	JAG1	
JUP	1	JUP	
TMLHE-AS1	1	TMLHE-AS1	
EIF2AK1	1	EIF2AK1	
EIF2AK3	1	EIF2AK3	
EIF2AK2	1	EIF2AK2	
LNPEP	1	LNPEP	
EIF2AK4	1	EIF2AK4	
BLOC1S5-TXNDC5	1	BLOC1S5-TXNDC5	
ENTPD3-AS1	1	ENTPD3-AS1	
FAM111B	1	FAM111B	
FAM111A	1	FAM111A	
AGO3	1	AGO3	
AGO4	1	AGO4	
AGO1	1	AGO1	
AGO2	1	AGO2	
NMT1	1	NMT1	
NMT2	1	NMT2	
HLA-DRB1	1	HLA-DRB1	
LGMN	1	LGMN	
PSME3IP1	1	PSME3IP1	
KDM8	1	KDM8	
TFCP2L1	1	TFCP2L1	
TRG-AS1	1	TRG-AS1	
NHSL2	1	NHSL2	
NHSL1	1	NHSL1	
JAK2	1	JAK2	
LINC00970	1	LINC00970	
JAK3	1	JAK3	
JAK1	1	JAK1	
DUSP4	1	DUSP4	
DUSP5	1	DUSP5	
MAMDC4	1	MAMDC4	
DUSP2	1	DUSP2	
CHST6	1	CHST6	
DUSP3	1	DUSP3	
CHST7	1	CHST7	
DUSP1	1	DUSP1	
IFT140	1	IFT140	
MAMDC2	1	MAMDC2	
DUSP8	1	DUSP8	
DUSP6	1	DUSP6	
DUSP7	1	DUSP7	
SDHAF2	1	SDHAF2	
LINC00967	1	LINC00967	
SDHAF3	1	SDHAF3	
LINC00968	1	LINC00968	
AGPS	1	AGPS	
DPYD	1	DPYD	
SDHAF1	1	SDHAF1	
LINC00963	1	LINC00963	
LINC00964	1	LINC00964	
SDHAF4	1	SDHAF4	
LINC00960	1	LINC00960	
CHST2	1	CHST2	
TP53I13	1	TP53I13	
CCDC18-AS1	1	CCDC18-AS1	
ABRACL	1	ABRACL	
FAM117B	1	FAM117B	
FAM117A	1	FAM117A	
AGR2	1	AGR2	
LINC00996	1	LINC00996	
LINC00997	1	LINC00997	
TP53I11	1	TP53I11	
JAM2	1	JAM2	
TMEM44-AS1	1	TMEM44-AS1	
ATAD1	1	ATAD1	
ATAD5	1	ATAD5	
ATAD2	1	ATAD2	
DCBLD1	1	DCBLD1	
DCBLD2	1	DCBLD2	
CCDC9	1	CCDC9	
CCDC8	1	CCDC8	
CCDC7	1	CCDC7	
CCDC6	1	CCDC6	
AGRN	1	AGRN	
LGR4	1	LGR4	
GZF1	1	GZF1	
EFEMP2	1	EFEMP2	
THAP9-AS1	1	THAP9-AS1	
CYSRT1	1	CYSRT1	
MRPL20-AS1	1	MRPL20-AS1	
KMT5B	1	KMT5B	
KMT5A	1	KMT5A	
PCYT2	1	PCYT2	
KMT5C	1	KMT5C	
FAM118A	1	FAM118A	
ATP11C	1	ATP11C	
ATP11B	1	ATP11B	
ATP11A	1	ATP11A	
FAM118B	1	FAM118B	
JAML	1	JAML	
SRSF2	1	SRSF2	
SRSF3	1	SRSF3	
SRSF4	1	SRSF4	
SRSF5	1	SRSF5	
PTPRCAP	1	PTPRCAP	
SRSF6	1	SRSF6	
SRSF7	1	SRSF7	
SRSF8	1	SRSF8	
SRSF9	1	SRSF9	
KMT2E	1	KMT2E	
KMT2D	1	KMT2D	
KMT2A	1	KMT2A	
UQCRB	1	UQCRB	
KMT2C	1	KMT2C	
KMT2B	1	KMT2B	
UAP1	1	UAP1	
UQCRH	1	UQCRH	
ARL17B	1	ARL17B	
ARL17A	1	ARL17A	
KHDC1	1	KHDC1	
AP4S1	1	AP4S1	
KHDC4	1	KHDC4	
KDSR	1	KDSR	
SH3BP5L	1	SH3BP5L	
UQCRQ	1	UQCRQ	
ADSS1	1	ADSS1	
ADSS2	1	ADSS2	
CLPTM1L	1	CLPTM1L	
PTEN	1	PTEN	
ETFA	1	ETFA	
ETFB	1	ETFB	
RESF1	1	RESF1	
AP4M1	1	AP4M1	
PTER	1	PTER	
DNAJC3-DT	1	DNAJC3-DT	
ADIRF-AS1	1	ADIRF-AS1	
LINCR-0001	1	LINCR-0001	
VPS9D1	1	VPS9D1	
SMCR5	1	SMCR5	
ETF1	1	ETF1	
SMCR8	1	SMCR8	
SRSF1	1	SRSF1	
ATP10D	1	ATP10D	
ATP10B	1	ATP10B	
ATP10A	1	ATP10A	
MTHFSD	1	MTHFSD	
ARL13B	1	ARL13B	
NNAT	1	NNAT	
E2F1	1	E2F1	
E2F2	1	E2F2	
E2F3	1	E2F3	
E2F4	1	E2F4	
E2F5	1	E2F5	
ACVR2B-AS1	1	ACVR2B-AS1	
E2F6	1	E2F6	
E2F7	1	E2F7	
E2F8	1	E2F8	
STARD7-AS1	1	STARD7-AS1	
SMIM10L1	1	SMIM10L1	
CNBP	1	CNBP	
MAP1LC3B2	1	MAP1LC3B2	
OCIAD1	1	OCIAD1	
KCP	1	KCP	
OCIAD2	1	OCIAD2	
ODAD1	1	CCDC114	
ODAD2	1	ARMC4	
ICAM2	1	ICAM2	
ICAM3	1	ICAM3	
ICAM4	1	ICAM4	
ICAM5	1	ICAM5	
IKZF1	1	IKZF1	
IKZF2	1	IKZF2	
IKZF3	1	IKZF3	
IKZF4	1	IKZF4	
ICAM1	1	ICAM1	
IKZF5	1	IKZF5	
SRD5A3-AS1	1	SRD5A3-AS1	
ANPEP	1	ANPEP	
C6orf120	1	C6orf120	
ASDURF	1	ASDURF	
GAREM2	1	GAREM2	
SNHG16	1	SNHG16	
SNHG15	1	SNHG15	
SNHG14	1	SNHG14	
GAREM1	1	GAREM1	
SNHG12	1	SNHG12	
SNHG11	1	SNHG11	
SNHG10	1	SNHG10	
TMEM63A	1	TMEM63A	
TMEM63B	1	TMEM63B	
TMEM63C	1	TMEM63C	
SNHG19	1	SNHG19	
MED12L	1	MED12L	
SNHG17	1	SNHG17	
SNHG26	1	SNHG26	
SNHG22	1	SNHG22	
SNHG21	1	SNHG21	
SNHG20	1	SNHG20	
DECR2	1	DECR2	
DECR1	1	DECR1	
CNFN	1	CNFN	
BRI3BP	1	BRI3BP	
PTK2	1	PTK2	
SNHG29	1	SNHG29	
MED13L	1	MED13L	
SNHG28	1	SNHG28	
NDUFAF8	1	NDUFAF8	
NDUFAF6	1	NDUFAF6	
MAGI2-AS3	1	MAGI2-AS3	
NDUFAF7	1	NDUFAF7	
PTK7	1	PTK7	
NDUFAF4	1	NDUFAF4	
SNHG32	1	SNHG32	
NDUFAF5	1	NDUFAF5	
SNHG31	1	SNHG31	
NDUFAF2	1	NDUFAF2	
SNHG30	1	SNHG30	
NDUFAF3	1	NDUFAF3	
NDUFAF1	1	NDUFAF1	
MGC27382	1	MGC27382	
MON1A	1	MON1A	
MON1B	1	MON1B	
SPAG16	1	SPAG16	
AP4E1	1	AP4E1	
MTRNR2L6	1	MTRNR2L6	
SPATC1L	1	SPATC1L	
MTRNR2L8	1	MTRNR2L8	
MTRNR2L1	1	MTRNR2L1	
KHK	1	KHK	
PTMS	1	PTMS	
MTRNR2L4	1	MTRNR2L4	
MT-ATP6	1	MT-ATP6	
SYNCRIP	1	SYNCRIP	
PPP3CA	1	PPP3CA	
PPP3CB	1	PPP3CB	
PPP3CC	1	PPP3CC	
UIMC1	1	UIMC1	
PHGDH	1	PHGDH	
C6orf163	1	C6orf163	
CTTNBP2NL	1	CTTNBP2NL	
KIN	1	KIN	
ARHGEF9	1	ARHGEF9	
KIT	1	KIT	
ARHGEF3	1	ARHGEF3	
ARHGEF1	1	ARHGEF1	
ARHGEF2	1	ARHGEF2	
ARHGEF7	1	ARHGEF7	
AFAP1-AS1	1	AFAP1-AS1	
KIZ	1	KIZ	
PTMA	1	PTMA	
ARHGEF5	1	ARHGEF5	
ARHGEF6	1	ARHGEF6	
SOX2-OT	1	SOX2-OT	
AHCY	1	AHCY	
ZNF451-AS1	1	ZNF451-AS1	
PTPA	1	PTPA	
FILIP1L	1	FILIP1L	
SPRYD3	1	SPRYD3	
SPRYD4	1	SPRYD4	
ELF3-AS1	1	ELF3-AS1	
SPRYD7	1	SPRYD7	
KAZALD1	1	KAZALD1	
MT-ATP8	1	MT-ATP8	
SGSM1	1	SGSM1	
SGSM3	1	SGSM3	
NDUFAB1	1	NDUFAB1	
SGSM2	1	SGSM2	
NEK10	1	NEK10	
C6orf136	1	C6orf136	
NEK11	1	NEK11	
PRDM7	1	PRDM7	
PRDM4	1	PRDM4	
PRDM6	1	PRDM6	
PRDM5	1	PRDM5	
PRDM2	1	PRDM2	
PRDM1	1	PRDM1	
CELSR1	1	CELSR1	
ETS1	1	ETS1	
CELSR2	1	CELSR2	
CELSR3	1	CELSR3	
ETS2	1	ETS2	
LINC00939	1	LINC00939	
GNPTAB	1	GNPTAB	
ZNF252P-AS1	1	ZNF252P-AS1	
LINC00937	1	LINC00937	
FAM3A	1	FAM3A	
FAM3C	1	FAM3C	
MMGT1	1	MMGT1	
ACOT11	1	ACOT11	
ACOT13	1	ACOT13	
KMO	1	KMO	
CCNB1IP1	1	CCNB1IP1	
SLFN12	1	SLFN12	
SLFN13	1	SLFN13	
TYROBP	1	TYROBP	
SLFN11	1	SLFN11	
LINC00923	1	LINC00923	
SLFN14	1	SLFN14	
LINC00926	1	LINC00926	
LINC00920	1	LINC00920	
LINC00921	1	LINC00921	
TSG101	1	TSG101	
PLGRKT	1	PLGRKT	
NDUFB10	1	NDUFB10	
UBA7	1	UBA7	
UBA6	1	UBA6	
NDUFB11	1	NDUFB11	
UBA5	1	UBA5	
SLC41A2	1	SLC41A2	
SLC41A3	1	SLC41A3	
SLC41A1	1	SLC41A1	
INAVA	1	INAVA	
CNN2	1	CNN2	
LINC00957	1	LINC00957	
LINC00958	1	LINC00958	
LINC00954	1	LINC00954	
TCAF2	1	TCAF2	
TCAF1	1	TCAF1	
AP4B1	1	AP4B1	
AHI1	1	AHI1	
UVSSA	1	UVSSA	
UBA3	1	UBA3	
UBA2	1	UBA2	
UBA1	1	UBA1	
PODXL2	1	PODXL2	
ZNF670-ZNF695	1	ZNF670-ZNF695	
LMNB2	1	LMNB2	
LTB4R	1	LTB4R	
LMNB1	1	LMNB1	
APCDD1L-DT	1	APCDD1L-DT	
ACOXL	1	ACOXL	
LCMT1-AS2	1	LCMT1-AS2	
LCMT1-AS1	1	LCMT1-AS1	
NQO2-AS1	1	NQO2-AS1	
MKKS	1	MKKS	
RNF217-AS1	1	RNF217-AS1	
ETV1	1	ETV1	
ETV3	1	ETV3	
ETV5	1	ETV5	
ETV6	1	ETV6	
ACOX1	1	ACOX1	
PTGES3L	1	PTGES3L	
ACOX3	1	ACOX3	
SFSWAP	1	SFSWAP	
NT5C2	1	NT5C2	
LINC00266-4P	1	LINC00266-4P	
CNR2	1	CNR2	
FAM241B	1	FAM241B	
FAM241A	1	FAM241A	
BNIP1	1	BNIP1	
PTK2B	1	PTK2B	
BNIP2	1	BNIP2	
LINC00910	1	LINC00910	
TRDMT1	1	TRDMT1	
NIPSNAP3B	1	NIPSNAP3B	
URGCP	1	URGCP	
NIPSNAP3A	1	NIPSNAP3A	
BNIP3	1	BNIP3	
YY1AP1	1	YY1AP1	
LINC00907	1	LINC00907	
ERCC3	1	ERCC3	
ERCC4	1	ERCC4	
ERCC1	1	ERCC1	
COL7A1	1	COL7A1	
ERCC2	1	ERCC2	
ERCC8	1	ERCC8	
ERCC5	1	ERCC5	
ERCC6	1	ERCC6	
LINC00900	1	LINC00900	
BNIPL	1	BNIPL	
PI4K2B	1	PI4K2B	
CNTF	1	CNTF	
DQX1	1	DQX1	
WDR86	1	WDR86	
WDR83	1	WDR83	
WDR89	1	WDR89	
WDR88	1	WDR88	
CNST	1	CNST	
WDR90	1	WDR90	
CIRBP-AS1	1	CIRBP-AS1	
WDR91	1	WDR91	
LUC7L	1	LUC7L	
LINC00893	1	LINC00893	
LINC00894	1	LINC00894	
LINC00891	1	LINC00891	
WDR74	1	WDR74	
WDR75	1	WDR75	
WDR72	1	WDR72	
WDR73	1	WDR73	
HCFC2	1	HCFC2	
KNSTRN	1	KNSTRN	
WDR76	1	WDR76	
WDR77	1	WDR77	
HCFC1	1	HCFC1	
WDR81	1	WDR81	
WDR82	1	WDR82	
LINC00886	1	LINC00886	
LINC00882	1	LINC00882	
PI4K2A	1	PI4K2A	
LINC00884	1	LINC00884	
