NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
DRAM2	1	DRAM2	
TSPOAP1	1	TSPOAP1	
KCNJ1	1	KCNJ1	
BBLN	1	C9orf16	
SLC36A4	1	SLC36A4	
KCNJ2	1	KCNJ2	
KCNJ5	1	KCNJ5	
KCNJ6	1	KCNJ6	
COL26A1	1	COL26A1	
GPKOW	1	GPKOW	
GSTZ1	1	GSTZ1	
BCAR1	1	BCAR1	
KCNK3	1	KCNK3	
CDRT15	1	CDRT15	
SLC23A3	1	SLC23A3	
SLC23A2	1	SLC23A2	
CERK	1	CERK	
LGALSL	1	LGALSL	
CCP110	1	CCP110	
PEX26	1	PEX26	
C4B	1	C4B	
LGALS3	1	LGALS3	
C4A	1	C4A	
LGALS1	1	LGALS1	
BSG	1	BSG	
ATXN7L1	1	ATXN7L1	
LGALS9	1	LGALS9	
LGALS8	1	LGALS8	
ATXN7L2	1	ATXN7L2	
BSN	1	BSN	
ATXN7L3	1	ATXN7L3	
GOLPH3L	1	GOLPH3L	
DRAIC	1	DRAIC	
CFDP1	1	CFDP1	
BTD	1	BTD	
SOAT1	1	SOAT1	
CRISPLD1	1	CRISPLD1	
CRISPLD2	1	CRISPLD2	
KCNQ1	1	KCNQ1	
SUB1	1	SUB1	
NINJ2	1	NINJ2	
NINJ1	1	NINJ1	
BTK	1	BTK	
KCNQ3	1	KCNQ3	
KCNQ5	1	KCNQ5	
CES3	1	CES3	
CES2	1	CES2	
CES1	1	CES1	
CETP	1	CETP	
DHX8	1	DHX8	
DHX9	1	DHX9	
ZBTB1	1	ZBTB1	
ZBTB5	1	ZBTB5	
ZBTB4	1	ZBTB4	
ZBTB3	1	ZBTB3	
CFAP126	1	CFAP126	
ZBTB2	1	ZBTB2	
NEU3	1	NEU3	
NKAIN4	1	NKAIN4	
MRNIP	1	MRNIP	
NKAIN3	1	NKAIN3	
RRAS	1	RRAS	
RACGAP1	1	RACGAP1	
NEU1	1	NEU1	
KCNN1	1	KCNN1	
KCNN4	1	KCNN4	
H3C6	1	H3C6	
BBS2	1	BBS2	
BBS1	1	BBS1	
NTNG2	1	NTNG2	
XBP1	1	XBP1	
SLC10A7	1	SLC10A7	
YES1	1	YES1	
SLC10A3	1	SLC10A3	
SUCO	1	SUCO	
CPLANE1	1	CPLANE1	
CPLANE2	1	CPLANE2	
NET1	1	NET1	
ZBTB9	1	ZBTB9	
PEX5L	1	PEX5L	
ZBTB6	1	ZBTB6	
MC1R	1	MC1R	
SPDYA	1	SPDYA	
GRB2	1	GRB2	
GRAP	1	GRAP	
TFB1M	1	TFB1M	
KCNT1	1	KCNT1	
SUFU	1	SUFU	
RNF213-AS1	1	RNF213-AS1	
BBS9	1	BBS9	
FCER1A	1	FCER1A	
MIR223HG	1	MIR223HG	
BBS7	1	BBS7	
BBS5	1	BBS5	
BBS4	1	BBS4	
EIF5AL1	1	EIF5AL1	
H3C8	1	H3C8	
ZHX2	1	ZHX2	
FCER1G	1	FCER1G	
PCYT1A	1	PCYT1A	
ZHX3	1	ZHX3	
AGTRAP	1	AGTRAP	
CACYBP	1	CACYBP	
TFB2M	1	TFB2M	
ZHX1	1	ZHX1	
RNF144B	1	RNF144B	
PITPNM1	1	PITPNM1	
PITPNM3	1	PITPNM3	
TAX1BP1	1	TAX1BP1	
FAM32A	1	FAM32A	
FAM193B	1	FAM193B	
TAX1BP3	1	TAX1BP3	
FAM193A	1	FAM193A	
SSNA1	1	SSNA1	
NEXN	1	NEXN	
PEX16	1	PEX16	
PEX19	1	PEX19	
KLHL2	1	KLHL2	
KLHL3	1	KLHL3	
PEX10	1	PEX10	
KCNRG	1	KCNRG	
PEX12	1	PEX12	
CFAP157	1	CFAP157	
PEX13	1	PEX13	
PEX14	1	PEX14	
KLHL9	1	KLHL9	
ETAA1	1	ETAA1	
TFAP4	1	TFAP4	
KLHL5	1	KLHL5	
KLHL6	1	KLHL6	
KLHL7	1	KLHL7	
KLHL8	1	KLHL8	
INPPL1	1	INPPL1	
PLAT	1	PLAT	
PLB1	1	PLB1	
TXN2	1	TXN2	
IGF1R	1	IGF1R	
PPIP5K1	1	PPIP5K1	
PLAU	1	PLAU	
PPIP5K2	1	PPIP5K2	
ENPP2	1	ENPP2	
RXYLT1	1	RXYLT1	
ENPP1	1	ENPP1	
ENPP4	1	ENPP4	
ENPP6	1	ENPP6	
ADAM10	1	ADAM10	
DHDDS	1	DHDDS	
ADAM17	1	ADAM17	
BRMS1	1	BRMS1	
ADAM15	1	ADAM15	
CARD19	1	CARD19	
ADAM12	1	ADAM12	
PLAA	1	PLAA	
CARD14	1	CARD14	
CARD11	1	CARD11	
HTRA4	1	HTRA4	
HTRA1	1	HTRA1	
DAPP1	1	DAPP1	
HTRA2	1	HTRA2	
PLD4	1	PLD4	
PLD6	1	PLD6	
PLD1	1	PLD1	
PLD3	1	PLD3	
PLD2	1	PLD2	
NME1-NME2	1	NME1-NME2	
KCNV1	1	KCNV1	
GRK3	1	GRK3	
GRK2	1	GRK2	
GRK5	1	GRK5	
GRK4	1	GRK4	
GRK6	1	GRK6	
PIBF1	1	PIBF1	
HULC	1	HULC	
ZNF350-AS1	1	ZNF350-AS1	
CHCHD10	1	CHCHD10	
FAM199X	1	FAM199X	
IGF2R	1	IGF2R	
ZMYND15	1	ZMYND15	
ZMYND19	1	ZMYND19	
PLEK	1	PLEK	
